unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
38,2.279817687300653e+26,538513146307.84467,695364293966.744,684702954798.53,250290.5089971883,258850.3399881521,217492.26693469202,0,10000
39,8.811741147946022e+29,949515976388.6013,729217443811.2257,866908771677.8462,294647.4445109265,195632.64071840871,199118.92884731633,0,10000
40,8.455889385752874e+29,734577258374.1805,703986286625.733,936298644573.8027,277762.7544877273,214093.2644799274,279482.34112867655,0,10000
41,8.316043858278576e+29,655120102257.7612,761815998670.798,742011834634.8761,225092.8901779499,242856.67231685948,125813.73366340855,0,10000
42,1.7717983615403685e+26,800404133429.1895,906272870418.9484,883419367511.1268,251479.00763968262,230191.69884530455,308606.4696822004,0,10000
43,3.912467782727453e+26,508767122564.8738,844449077231.0858,428989061231.7711,253244.74613574488,181850.31923721576,242075.5862829747,0,10000
44,7.751030073412798e+29,433667613779.20825,767528412122.008,594649609225.363,202185.3281406478,266969.03668855235,195330.5992073652,0,10000
45,4.346007596756456e+28,492784084661.96625,861812378417.0353,894441719749.0369,262159.38345989847,287564.8853577484,295012.6915188807,0,10000
46,4.432366548309339e+29,872761885605.4717,501712481126.8731,1027173200595.6483,194282.67541758457,309504.3939222241,209546.05986077315,0,10000
47,1.0555574988790796e+27,617824793983.4463,743358181111.8088,848569873479.3635,276649.4360363063,310980.82529311674,263020.80394980387,0,10000
48,9.427736487595933e+29,363076994040.0097,660692530490.815,719444463486.4109,221385.0763414085,238502.20018852953,249320.0644849518,0,10000
49,8.918208618496016e+28,909624533636.1544,709283894683.395,734483386215.2418,335264.3270663497,209424.09982403927,243870.3253573031,0,10000
50,6.625774491482488e+29,852193723813.121,747040613037.7148,481984626107.8691,261016.3185578246,335334.198449542,345314.55575514445,0,10000
51,5.922881760344454e+29,603156923965.3129,498691890387.9699,811332348925.3253,182579.47754726262,237194.61350013668,227533.16405288532,0,10000
52,9.711891722787687e+29,765135509439.8358,687063289648.5481,750433359968.9445,272979.46442991524,200233.31203622973,263139.45836724294,0,10000
53,5.663366260806171e+25,1080717652496.6569,622918606175.1005,657703964529.2467,226666.5129560119,240412.82187186548,225086.03646407538,0,10000
54,7.251606073116555e+29,689927198114.3588,524795230506.1649,860924553447.3148,293417.4822273157,194888.96377747422,240834.6469187354,0,10000
55,5.546830607028334e+25,941390174716.4602,872051265658.2506,864179222788.6389,271322.3692755867,226253.7464265977,108191.3278663659,0,10000
56,1.1301507656249595e+29,796608476139.3246,699537006942.6727,663582127766.6681,224603.62701065582,239322.51232275256,210729.25689971904,0,10000
57,1.3479368569344537e+28,440949438624.2522,738735227178.2472,725289468115.4993,300375.1893497208,263756.7388063167,216921.3622058951,0,10000
58,4.79346640834762e+28,575102282052.1133,710874051035.3176,574335876392.9066,180843.47379734274,253842.597487792,229663.59469889037,0,10000
59,5.240386156449747e+23,883933755656.45,830056742351.4585,726365110500.0452,295996.86715337017,204107.1428623646,387423.11945814826,0,10000
60,7.22129233350883e+27,698598300451.8271,836239979279.3041,629860337002.296,225406.4497495791,280534.032775545,233354.34909812635,0,10000
61,6.5262629000271226e+28,681909653230.0437,714009096905.7233,828892760578.9669,177257.95070621173,285384.29386688164,225146.73786051504,0,10000
62,1.0286160060286211e+25,908646315578.5533,634460018874.0132,773375459059.5874,327312.00634689437,223460.33338756385,226776.45541286978,0,10000
63,9.336849145870551e+29,658676547147.928,758279956736.433,906061165004.4452,288500.892456722,310000.91726504377,169991.20859007724,0,10000
64,9.437066061938554e+29,834075084066.7289,818934325810.021,477624615914.25006,273114.92473597906,306556.1156898983,162954.89353243113,0,10000
65,8.340690270188671e+26,719318082076.9154,634527384253.2671,551474409968.8656,305929.5258305723,206956.22867998472,279933.18282478995,0,10000
66,4.10662903991881e+29,808322186307.9559,680480141122.2344,524450679522.81305,225442.5928199532,256930.12624958588,305390.64502933307,0,10000
67,1.0654185159853926e+29,756731292817.8982,846471659283.37,698954692605.7529,218553.04379168048,300875.6059103548,218091.33253490843,0,10000
68,6.102083242228561e+29,789972395034.6713,865197035982.642,554974115643.601,295547.950734294,155684.72677742506,229726.4676527237,0,10000
69,9.092580644052994e+29,1048572289291.0881,459836477410.72876,685992366955.3383,248832.5716799236,187895.7821493381,245485.604397251,0,10000
70,7.386069603225748e+29,941746152198.0232,894913942445.5249,759916268008.671,286577.2125172564,185073.2424854634,129946.0942628328,0,10000
71,6.176064596847377e+29,744934037815.3724,705206543206.5833,709154478666.2252,321395.6314985881,192734.00609349014,289567.45881544595,0,10000
72,6.150597654674634e+29,812860851577.6925,798011802008.2911,1174727585885.374,272114.7775774989,302763.28698673984,273749.8162723181,0,10000
73,5.5508068477455295e+23,759680799044.7444,535117603470.66583,956497091953.8452,246242.0066035419,242293.72410123824,294284.9085858541,0,10000
74,9.936723714204098e+29,587454333276.9537,660446953844.0054,776434263289.3184,267563.68430095573,207517.42494988407,260758.65361712087,0,10000
75,8.106427888402018e+27,655256327363.4868,797403131682.0302,812033885760.0381,235444.553060494,251331.84354063735,226394.58221926188,0,10000
76,2.877927688909504e+26,802293731633.5988,771689389598.702,525485139373.0563,254004.5947210546,204224.113226214,266598.277810905,0,10000
77,1.5919444134932813e+29,692876043608.5383,612216263368.8695,821031947592.1212,258966.74514959406,272940.49425762595,258538.45209681525,0,10000
78,1.467416375942111e+29,772150330104.0216,705095131134.221,1075834132555.8093,239192.29125981117,177242.71222671098,287100.3431309825,0,10000
79,9.34297723062527e+29,675928257137.2732,488920503497.2291,736951930449.9648,269473.3613884423,270461.3279719093,289072.6847101125,0,10000
80,8.395522687851157e+22,541278188888.6567,534891336141.0038,590074302196.195,247902.4351604107,281535.77953260345,237085.03137956388,0,10000
81,9.058501660611169e+27,966292161864.484,448217272172.21277,1015614973544.4672,238744.8697981954,233475.56212683886,181627.27897884493,0,10000
82,9.552677756014436e+25,579235187482.2262,896320937008.6967,859024228727.3848,260756.5741399035,281054.2923000447,184123.44586895022,0,10000
83,5.834002384133802e+28,584781111215.5343,916219386062.7073,773627128996.827,226023.62889742057,242005.99564205247,318756.37274161214,0,10000
84,1.4872172337529678e+29,782482963491.0554,646188902476.9651,848203549790.2328,285783.12232857506,284436.13498768467,323873.36615018133,0,10000
85,9.230665513824826e+29,942956498611.7495,867439971730.248,642695515737.1548,228761.5824845844,234359.65794140825,200391.65327131047,0,10000
86,8.418323658565e+29,824071189248.2303,650478346110.6447,480619740219.3671,299270.26847337425,226363.12041822216,178247.85890025497,0,10000
87,9.288495205143643e+29,720693978103.3027,713676975215.6758,1030001635289.2555,178722.12790013602,315579.76434084465,170231.04318000446,0,10000
88,1.5152840935307255e+29,687243868196.0718,558499220023.845,524552631658.31384,210690.87976291083,245409.9082063153,207964.44814635298,0,10000
